        Date        , GPU Core Clock [MHz] , GPU Core Clock [MHz] , GPU Temperature [°C] , Fan Speed (%) [%] , Fan Speed (RPM) [RPM] , Memory Used [MB] , GPU Load [%] , Memory Controller Load [%] , Video Engine Load [%] , Bus Interface Load [%] , Power Consumption [% TDP] , PerfCap Reason [] , VDDC [V] ,
2018-01-25 16:17:32 ,              135.0   ,              162.0   ,               41.0   ,              24   ,                1052   ,            296   ,          0   ,                        8   ,                   0   ,                    0   ,                     8.5   ,              16   , 0.8500   ,
2018-01-25 16:17:33 ,              135.0   ,              162.0   ,               41.0   ,              24   ,                1052   ,            296   ,          0   ,                        8   ,                   0   ,                    0   ,                     8.4   ,              16   , 0.8500   ,
2018-01-25 16:17:34 ,              135.0   ,              162.0   ,               41.0   ,              24   ,                1052   ,            296   ,          0   ,                        8   ,                   0   ,                    0   ,                     8.4   ,              16   , 0.8500   ,
2018-01-25 16:17:35 ,              135.0   ,              162.0   ,               41.0   ,              24   ,                1050   ,            296   ,          0   ,                        8   ,                   0   ,                    0   ,                     8.5   ,              16   , 0.8500   ,
2018-01-25 16:17:36 ,              135.0   ,              162.0   ,               41.0   ,              24   ,                1052   ,            296   ,          0   ,                        8   ,                   0   ,                    0   ,                     8.4   ,              16   , 0.8500   ,
2018-01-25 16:17:37 ,              135.0   ,              162.0   ,               40.0   ,              24   ,                1051   ,            296   ,          0   ,                        8   ,                   0   ,                    0   ,                     8.4   ,              16   , 0.8500   ,
2018-01-25 16:17:38 ,              135.0   ,              162.0   ,               40.0   ,              24   ,                1051   ,            296   ,          0   ,                        8   ,                   0   ,                    0   ,                     8.4   ,              16   , 0.8500   ,
2018-01-25 16:17:39 ,              135.0   ,              162.0   ,               40.0   ,              24   ,                1051   ,            296   ,          0   ,                        8   ,                   0   ,                    0   ,                     8.4   ,              16   , 0.8500   ,
2018-01-25 16:17:40 ,              135.0   ,              162.0   ,               40.0   ,              24   ,                1049   ,            296   ,          0   ,                        8   ,                   0   ,                    0   ,                     8.4   ,              16   , 0.8500   ,
2018-01-25 16:17:41 ,              135.0   ,              162.0   ,               40.0   ,              24   ,                1051   ,            296   ,          0   ,                        8   ,                   0   ,                    0   ,                     8.4   ,              16   , 0.8500   ,
2018-01-25 16:17:42 ,              135.0   ,              162.0   ,               40.0   ,              24   ,                1050   ,            296   ,          0   ,                        8   ,                   0   ,                    0   ,                     8.4   ,              16   , 0.8500   ,
2018-01-25 16:17:43 ,              135.0   ,              162.0   ,               40.0   ,              24   ,                1048   ,            296   ,          0   ,                        8   ,                   0   ,                    0   ,                     8.4   ,              16   , 0.8500   ,
2018-01-25 16:17:44 ,              135.0   ,              162.0   ,               40.0   ,              24   ,                1049   ,            296   ,          0   ,                        8   ,                   0   ,                    0   ,                     8.5   ,              16   , 0.8500   ,
2018-01-25 16:17:45 ,              135.0   ,              162.0   ,               40.0   ,              24   ,                1048   ,            296   ,          0   ,                        8   ,                   0   ,                    0   ,                     8.4   ,              16   , 0.8500   ,
2018-01-25 16:17:46 ,              135.0   ,              162.0   ,               40.0   ,              24   ,                1049   ,            296   ,          0   ,                        8   ,                   0   ,                    0   ,                     8.4   ,              16   , 0.8500   ,
2018-01-25 16:17:47 ,              135.0   ,              162.0   ,               39.0   ,              24   ,                1048   ,            296   ,          0   ,                        8   ,                   0   ,                    0   ,                     8.4   ,              16   , 0.8500   ,
2018-01-25 16:17:48 ,              135.0   ,              162.0   ,               39.0   ,              24   ,                1048   ,            296   ,          0   ,                        8   ,                   0   ,                    0   ,                     8.4   ,              16   , 0.8500   ,
