model,n_reads,n_batches,pvalue,padj
m1,10,32,9.5367431640625e-7,1.068115234375e-4
m2,10,32,9.5367431640625e-7,1.068115234375e-4
m3,10,32,9.5367431640625e-7,1.068115234375e-4
m4,10,32,9.5367431640625e-7,1.068115234375e-4
m5,10,32,9.5367431640625e-7,1.068115234375e-4
m6,10,32,9.5367431640625e-7,1.068115234375e-4
m7,10,32,9.5367431640625e-7,1.068115234375e-4
m1,20,32,9.5367431640625e-7,1.068115234375e-4
m2,20,32,9.5367431640625e-7,1.068115234375e-4
m3,20,32,9.5367431640625e-7,1.068115234375e-4
m4,20,32,9.5367431640625e-7,1.068115234375e-4
m5,20,32,9.5367431640625e-7,1.068115234375e-4
m6,20,32,9.5367431640625e-7,1.068115234375e-4
m7,20,32,9.5367431640625e-7,1.068115234375e-4
m1,30,32,9.5367431640625e-7,1.068115234375e-4
m2,30,32,9.5367431640625e-7,1.068115234375e-4
m3,30,32,9.5367431640625e-7,1.068115234375e-4
m4,30,32,9.5367431640625e-7,1.068115234375e-4
m5,30,32,9.5367431640625e-7,1.068115234375e-4
m6,30,32,9.5367431640625e-7,1.068115234375e-4
m7,30,32,9.5367431640625e-7,1.068115234375e-4
m1,40,32,9.5367431640625e-7,1.068115234375e-4
m2,40,32,9.5367431640625e-7,1.068115234375e-4
m3,40,32,9.5367431640625e-7,1.068115234375e-4
m4,40,32,9.5367431640625e-7,1.068115234375e-4
m5,40,32,9.5367431640625e-7,1.068115234375e-4
m6,40,32,9.5367431640625e-7,1.068115234375e-4
m7,40,32,9.5367431640625e-7,1.068115234375e-4
m1,10,64,9.5367431640625e-7,1.068115234375e-4
m2,10,64,9.5367431640625e-7,1.068115234375e-4
m3,10,64,9.5367431640625e-7,1.068115234375e-4
m4,10,64,9.5367431640625e-7,1.068115234375e-4
m5,10,64,9.5367431640625e-7,1.068115234375e-4
m6,10,64,9.5367431640625e-7,1.068115234375e-4
m7,10,64,9.5367431640625e-7,1.068115234375e-4
m1,20,64,9.5367431640625e-7,1.068115234375e-4
m2,20,64,9.5367431640625e-7,1.068115234375e-4
m3,20,64,9.5367431640625e-7,1.068115234375e-4
m4,20,64,9.5367431640625e-7,1.068115234375e-4
m5,20,64,9.5367431640625e-7,1.068115234375e-4
m6,20,64,9.5367431640625e-7,1.068115234375e-4
m7,20,64,9.5367431640625e-7,1.068115234375e-4
m1,30,64,9.5367431640625e-7,1.068115234375e-4
m2,30,64,9.5367431640625e-7,1.068115234375e-4
m3,30,64,9.5367431640625e-7,1.068115234375e-4
m4,30,64,9.5367431640625e-7,1.068115234375e-4
m5,30,64,9.5367431640625e-7,1.068115234375e-4
m6,30,64,9.5367431640625e-7,1.068115234375e-4
m7,30,64,9.5367431640625e-7,1.068115234375e-4
m1,40,64,9.5367431640625e-7,1.068115234375e-4
m2,40,64,9.5367431640625e-7,1.068115234375e-4
m3,40,64,9.5367431640625e-7,1.068115234375e-4
m4,40,64,9.5367431640625e-7,1.068115234375e-4
m5,40,64,9.5367431640625e-7,1.068115234375e-4
m6,40,64,9.5367431640625e-7,1.068115234375e-4
m7,40,64,9.5367431640625e-7,1.068115234375e-4
m1,10,96,9.5367431640625e-7,1.068115234375e-4
m2,10,96,9.5367431640625e-7,1.068115234375e-4
